X,Y,OBJECTID,GARDEN,STATUS,GARDEN_FR,STATUS_FR,LEGAL_ADDR,NOTES,LINK_FR,LEGAL_ADDR_FR,LINK,GlobalID
-75.4989466311528,45.483756528972,1,Orleans Community Garden,Existing,Jardin Communautaire d'Orléans,Actuel,3350 St Joseph Blvd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3350, boul. St Joseph",http://justfood.ca/community-gardening-network/,{A8AB3825-8D34-42B3-B150-B17F8EEA6FB1}
-75.5674025895413,45.4208261271696,2,Gloucester Allotment Gardens Association (Location 1),Existing,Jardins collectifs de Gloucester (emplacement no 1),Actuel,Corner of Weir and Anderson,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,À l'angle du ch. Weir et du ch. Anderson,http://justfood.ca/community-gardening-network/,{D19535E3-166D-4754-BF83-CD0BFD133232}
-75.8005765429831,45.3552345932602,3,Michele Heights Community Garden,Existing,Jardin Communautaire de Michele Heights,Actuel,2955 Michèle Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2955, prom. Michèle",http://justfood.ca/community-gardening-network/,{71C5B7F0-C3A4-4642-9B6F-64B085A207CB}
-75.7733698568523,45.3454860537328,4,Bethany Church Community Garden,Existing,Jardin Communautaire de l'église Bethany,Actuel,382 Centrepointe Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"382, prom. Centrepointe",http://justfood.ca/community-gardening-network/,{69C94802-8057-4374-B853-B220E5BF5BDE}
-75.7180421437794,45.3465105481626,5,Nepean Allotment Gardens Association,Existing,Jardins Collectifs de Nepean,Actuel,230 Viewmount Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"230, prom. Viewmount",http://justfood.ca/community-gardening-network/,{B5D7F7CD-B08A-41AC-B42B-B9E619505BD5}
-75.6361936728865,45.4273561788269,6,Friendship Community Garden,Existing,Jardin Communautaire de l'Amitié,Actuel,1240/1244 Donald St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1240/1244, rue Donald",http://justfood.ca/community-gardening-network/,{EB953EB3-8152-4B56-82A0-4D0F509A2648}
-75.6817654863826,45.4347668378798,7,Lowertown/Basseville Community Garden (Location 1),Existing,Jardin Communautaire Lowertown/Basseville (emplacement no 1),Actuel,40 Cobourg St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"40, rue Cobourg",http://justfood.ca/community-gardening-network/,{0A3520D0-5148-420B-9601-2E4697A8E066}
-75.6694240517302,45.4187323045975,8,Strathcona Heights Community Garden,Existing,Jardin Communautaire de Strathcona Heights,Actuel,430 Wiggins Private,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"430, privé Wiggins",http://justfood.ca/community-gardening-network/,{0877E905-2840-48B5-AFBE-2806F54A08C5}
-75.6577031098865,45.4293097725912,9,Chateau Donald Community Garden,Existing,Jardin Communautaire de Chateau Donald,Actuel,251 Donald St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"251, rue Donald",http://justfood.ca/community-gardening-network/,{946FAE45-DDE4-4B5F-B5DB-A363DE12493E}
-75.7074851080135,45.4153043248432,10,Nanny Goat Hill Community Garden,Existing,Jardin Communautaire Nanny Goat Hill,Actuel,575/551 Laurier Ave. West,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"575/551, av. Laurier Ouest",http://justfood.ca/community-gardening-network/,{B395A5B1-F1CC-4645-8C98-DF88BBE8B354}
-75.7133411650349,45.4117943604653,11,Sweet Willow Community Garden,Existing,Jardin Communautaire Sweet Willow,Actuel,31 Rochester St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"31, rue Rochester",http://justfood.ca/community-gardening-network/,{27AAE271-8844-45C2-B42E-B3C6365AA823}
-75.7067407097821,45.3681226262627,13,Debra Dynes Family House Community Garden,Existing,Jardin Communautaire de la maison de la famille de Debra Dynes,Actuel,955 Debra Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"955, av. Debra",http://justfood.ca/community-gardening-network/,{8B94D444-6414-40B2-992B-8363F0EE645B}
-75.6759959798996,45.4060911254663,15,Ottawa Children's Garden,Existing,Jardin pour enfants d'Ottawa,Actuel,321 Main St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"321, rue Main",http://justfood.ca/community-gardening-network/,{B404834D-12E0-4048-8728-68D50AF2A828}
-75.6753784964664,45.4079509959069,16,Ottawa East Community Garden,Existing,Jardin Communautaire d'Ottawa-Est,Actuel,249/223/175 Main St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"249/223/175, rue. Main",http://justfood.ca/community-gardening-network/,{4F65B670-96F4-4AB8-8AC8-8F40E5391716}
-75.6991718042477,45.4050342013016,22,Bytown Urban Gardens (BUGs) CG,Existing,Jardin Communautaire Bytown Urban Gardens (BUGs) ,Actuel,75 Glendale Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"75, av. Glendale",http://justfood.ca/community-gardening-network/,{DC82F087-B2BC-404F-8F11-CC1E5801E344}
-75.5953759145361,45.4385512204825,23,Jardin Arrowsmith Thyme-Less Community Garden,Existing,Jardin Communautaire Arrowsmith Thyme-Less ,Actuel,2040 Arrowsmith Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2040, prom. Arrowsmith",http://justfood.ca/community-gardening-network/,{54F8B1D7-1A64-4351-B5FE-B08813C23638}
